language_name,language_code,modern_language,is_official,script_name,script_code,script_modern,is_rtl
Wadiyara Koli,kxp,True,False,Arabic,Arab,True,True
Wagdi,wbr,True,False,Devanagari,Deva,True,False
Wallisian,wls,True,False,Latin,Latn,True,False
Walloon,wa,True,False,Latin,Latn,True,False
Walser,wae,True,False,Latin,Latn,True,False
Waray,war,True,False,Latin,Latn,True,False
Warlpiri,wbp,True,False,Latin,Latn,True,False
Washo,was,True,False,Latin,Latn,True,False
Wayuu,guc,True,False,Latin,Latn,True,False
Welsh,cy,True,False,Latin,Latn,True,False
West Flemish,vls,True,False,Latin,Latn,True,False
Western Balochi,bgn,True,False,Arabic,Arab,True,True
Western Canadian Inuktitut,ikt,True,False,Latin,Latn,True,False
Western Cham,cja,True,False,Arabic,Arab,True,True
Western Cham,cja,True,False,Cham,Cham,True,False
Western Frisian,fy,True,False,Latin,Latn,True,False
Western Huasteca Nahuatl,nhw,True,False,Latin,Latn,True,False
Western Kayah,kyu,True,False,Kayah Li,Kali,True,False
Western Lawa,lcp,True,False,Thai,Thai,True,False
Western Magar,mrd,True,False,Devanagari,Deva,True,False
Western Mari,mrj,True,False,Cyrillic,Cyrl,True,False
Western Ojibwa,ojw,True,True,Unknown Script,Zzzz,True,False
Western Panjabi,lah,True,False,Arabic,Arab,True,True
Western Tamang,tdg,True,False,Devanagari,Deva,True,False
Western Tamang,tdg,True,False,Tibetan,Tibt,True,False
Wolaytta,wal,True,False,Ethiopic,Ethi,True,False
Wolof,wo,True,True,Arabic,Arab,True,True
Wolof,wo,True,True,Latin,Latn,True,False
Woods Cree,cwd,True,True,Unknown Script,Zzzz,True,False
Wu Chinese,wuu,True,False,Simplified,Hans,True,False
Xaasongaxango,kao,True,False,Latin,Latn,True,False
Xavánte,xav,True,False,Latin,Latn,True,False
Xhosa,xh,True,False,Latin,Latn,True,False
Xiang Chinese,hsn,True,False,Simplified,Hans,True,False
Yakut,sah,True,False,Cyrillic,Cyrl,True,False
Yangben,yav,True,False,Latin,Latn,True,False
Yao,yao,True,False,Latin,Latn,True,False
Yapese,yap,True,False,Latin,Latn,True,False
Yemba,ybb,True,False,Latin,Latn,True,False
